,Name,Young?,SpT,grav,URL
0,GU Psc A,Y,M3,--,http://figshare.com/download/file/1498389/1
1,GU Psc b,Y,T3.5,--,http://figshare.com/download/file/1510859/1
2,2MASS J1207-3900,Y,L1,gamma,http://figshare.com/download/file/1417761/1
3,2MASS J1207-3900,Y,L1,gamma,http://figshare.com/download/file/1417758/1
4,2MASS J1247-3816,Y,M9,gamma,http://files.figshare.com/1417762/M9g_2MASS_J12474428_3816464_Spex_LowRes15.fits
5,SIMP J2154-1055,Y,L4,beta,http://figshare.com/download/file/1602851/1
6,2MASS J0001+1535,Y,L4,beta,https://zenodo.org/record/19060/files/J000112171535355.fits
7,2MASS J0006-6436,Y,M8,gamma,https://zenodo.org/record/19060/files/J00065794-6436542.fits
8,2MASS J0018-6703,Y,L0,gamma,https://zenodo.org/record/19060/files/J00182834-6703130.fits
9,2MASS J0019-6226,Y,L1,gamma,https://zenodo.org/record/19060/files/J00191296-6226005.fits
10,2MASS J0019+4614,Y,M8,beta,https://zenodo.org/record/19060/files/J001926264614078.fits
11,2MASS J0027-0806,Y,M5.5,beta,https://zenodo.org/record/19060/files/J00274534-0806046.fits
12,2MASS J0034-4102,Y,L1,beta,https://zenodo.org/record/19060/files/J00344300-4102266.fits
13,2MASS J0038-6403,Y,M9.5,beta,https://zenodo.org/record/19060/files/J00381489-6403529.fits
14,2MASS J0041-5621,Y,M7.5,beta,https://zenodo.org/record/19060/files/J00413538-5621127.fits
15,2MASS J0042+1142,Y,M9,beta,https://zenodo.org/record/19060/files/J004259231142104.fits
16,2MASS J0046+0715,Y,L0,delta,https://zenodo.org/record/19060/files/J004648410715177.fits
17,2MASS J0051-6227,Y,M5.5,beta,https://zenodo.org/record/19060/files/J00514561-6227073.fits
18,2MASS J0058-0651,Y,L1,beta,https://zenodo.org/record/19060/files/J00584253-0651239.fits
19,2MASS J0120-5200,Y,L1,gamma,https://zenodo.org/record/19060/files/J01205114-5200349.fits
20,SIMP J0120+1518,Y,M9,gamma,https://zenodo.org/record/58501/files/sp1_SIMP012052151820_080918.fits
21,2MASS J0126-5505,Y,M6,gamma,https://zenodo.org/record/19060/files/J01265327-5505506.fits
